load word frequency mapping - complete
loaded tensor torch.Size([798949912])
loaded tensor torch.Size([30301027, 2])
#sentences 30301027
load train data - complete
#sentences 6073
load test data - complete
Batch Size: 1024 Initial LR: 0.004
Random Initialization - No Saved Model
| epoch   1 |     0/39011 batches | lr 0.004000 | ms/batch  5.05 | loss 13.07 | ppl 473681.63
| epoch   1 |   125/39011 batches | lr 0.003999 | ms/batch 1568.23 | loss  6.01 | ppl   405.79
| epoch   1 |   250/39011 batches | lr 0.003997 | ms/batch 2314.16 | loss  5.35 | ppl   211.13
| epoch   1 |   375/39011 batches | lr 0.003996 | ms/batch 2332.73 | loss  5.03 | ppl   152.61
| epoch   1 |   500/39011 batches | lr 0.003995 | ms/batch 1782.50 | loss  4.85 | ppl   127.49
| epoch   1 |   625/39011 batches | lr 0.003994 | ms/batch 467.57 | loss  4.69 | ppl   108.38
| epoch   1 |   750/39011 batches | lr 0.003992 | ms/batch 466.35 | loss  4.57 | ppl    96.86
| epoch   1 |   875/39011 batches | lr 0.003991 | ms/batch 469.38 | loss  4.49 | ppl    88.81
| epoch   1 |  1000/39011 batches | lr 0.003990 | ms/batch 471.21 | loss  4.49 | ppl    88.83
| epoch   1 |  1125/39011 batches | lr 0.003988 | ms/batch 465.42 | loss  4.40 | ppl    81.54
| epoch   1 |  1250/39011 batches | lr 0.003987 | ms/batch 470.28 | loss  4.37 | ppl    79.36
| epoch   1 |  1375/39011 batches | lr 0.003986 | ms/batch 468.28 | loss  4.28 | ppl    72.37
| epoch   1 |  1500/39011 batches | lr 0.003985 | ms/batch 472.02 | loss  4.24 | ppl    69.17
| epoch   1 |  1625/39011 batches | lr 0.003983 | ms/batch 469.21 | loss  4.21 | ppl    67.56
| epoch   1 |  1750/39011 batches | lr 0.003982 | ms/batch 470.46 | loss  4.16 | ppl    64.33
| epoch   1 |  1875/39011 batches | lr 0.003981 | ms/batch 472.78 | loss  4.17 | ppl    65.02
| epoch   1 |  2000/39011 batches | lr 0.003979 | ms/batch 469.00 | loss  4.10 | ppl    60.38
| epoch   1 |  2125/39011 batches | lr 0.003978 | ms/batch 465.46 | loss  4.10 | ppl    60.08
