load word frequency mapping - complete
loaded tensor torch.Size([798949912])
loaded tensor torch.Size([30301026, 3])
#sentences 30301026
load train data - complete
#sentences 6073
load test data - complete
| epoch   1 |     0/312089 batches | lr 0.01 | ms/batch  2.88 | loss 13.04 | ppl 459089.07
| epoch   1 |  1000/312089 batches | lr 0.01 | ms/batch 209.18 | loss  7.04 | ppl  1142.51
| epoch   1 |  2000/312089 batches | lr 0.01 | ms/batch 209.33 | loss  6.94 | ppl  1028.61
| epoch   1 |  3000/312089 batches | lr 0.01 | ms/batch 209.42 | loss  6.89 | ppl   983.99
| epoch   1 |  4000/312089 batches | lr 0.01 | ms/batch 209.45 | loss  6.87 | ppl   959.66
| epoch   1 |  5000/312089 batches | lr 0.01 | ms/batch 209.38 | loss  6.85 | ppl   944.54
| epoch   1 |  6000/312089 batches | lr 0.01 | ms/batch 209.65 | loss  6.84 | ppl   933.92
| epoch   1 |  7000/312089 batches | lr 0.01 | ms/batch 209.36 | loss  6.83 | ppl   926.24
| epoch   1 |  8000/312089 batches | lr 0.01 | ms/batch 209.36 | loss  6.82 | ppl   919.95
| epoch   1 |  9000/312089 batches | lr 0.01 | ms/batch 209.35 | loss  6.82 | ppl   915.10
| epoch   1 | 10000/312089 batches | lr 0.01 | ms/batch 209.59 | loss  6.81 | ppl   911.02
| epoch   1 | 11000/312089 batches | lr 0.01 | ms/batch 209.28 | loss  6.81 | ppl   907.69
| epoch   1 | 12000/312089 batches | lr 0.01 | ms/batch 209.59 | loss  6.78 | ppl   877.69
| epoch   1 | 13000/312089 batches | lr 0.01 | ms/batch 209.62 | loss  6.72 | ppl   826.26
| epoch   1 | 14000/312089 batches | lr 0.01 | ms/batch 209.55 | loss  6.64 | ppl   764.97
| epoch   1 | 15000/312089 batches | lr 0.01 | ms/batch 209.62 | loss  6.56 | ppl   706.18
| epoch   1 | 16000/312089 batches | lr 0.01 | ms/batch 209.66 | loss  6.48 | ppl   653.54
| epoch   1 | 17000/312089 batches | lr 0.01 | ms/batch 209.38 | loss  6.41 | ppl   607.17
| epoch   1 | 18000/312089 batches | lr 0.01 | ms/batch 209.31 | loss  6.34 | ppl   566.72
| epoch   1 | 19000/312089 batches | lr 0.01 | ms/batch 209.56 | loss  6.28 | ppl   531.24
| epoch   1 | 20000/312089 batches | lr 0.01 | ms/batch 209.56 | loss  6.21 | ppl   500.17
| epoch   1 | 21000/312089 batches | lr 0.01 | ms/batch 209.35 | loss  6.16 | ppl   472.96
| epoch   1 | 22000/312089 batches | lr 0.01 | ms/batch 209.14 | loss  6.11 | ppl   448.77
| epoch   1 | 23000/312089 batches | lr 0.01 | ms/batch 209.39 | loss  6.06 | ppl   427.18
| epoch   1 | 24000/312089 batches | lr 0.01 | ms/batch 209.21 | loss  6.01 | ppl   407.93
| epoch   1 | 25000/312089 batches | lr 0.01 | ms/batch 209.30 | loss  5.97 | ppl   390.65
| epoch   1 | 26000/312089 batches | lr 0.01 | ms/batch 209.36 | loss  5.93 | ppl   375.03
| epoch   1 | 27000/312089 batches | lr 0.01 | ms/batch 209.32 | loss  5.89 | ppl   360.86
| epoch   1 | 28000/312089 batches | lr 0.01 | ms/batch 209.26 | loss  5.85 | ppl   347.95
| epoch   1 | 29000/312089 batches | lr 0.01 | ms/batch 209.26 | loss  5.82 | ppl   336.19
| epoch   1 | 30000/312089 batches | lr 0.01 | ms/batch 209.45 | loss  5.79 | ppl   325.41
| epoch   1 | 31000/312089 batches | lr 0.01 | ms/batch 209.19 | loss  5.75 | ppl   315.44
| epoch   1 | 32000/312089 batches | lr 0.01 | ms/batch 209.31 | loss  5.72 | ppl   306.29
| epoch   1 | 33000/312089 batches | lr 0.01 | ms/batch 209.35 | loss  5.70 | ppl   297.77
| epoch   1 | 34000/312089 batches | lr 0.01 | ms/batch 209.62 | loss  5.67 | ppl   289.86
| epoch   1 | 35000/312089 batches | lr 0.01 | ms/batch 209.44 | loss  5.64 | ppl   282.54
| epoch   1 | 36000/312089 batches | lr 0.01 | ms/batch 209.31 | loss  5.62 | ppl   275.70
| epoch   1 | 37000/312089 batches | lr 0.01 | ms/batch 209.51 | loss  5.60 | ppl   269.29
| epoch   1 | 38000/312089 batches | lr 0.01 | ms/batch 209.72 | loss  5.57 | ppl   263.30
| epoch   1 | 39000/312089 batches | lr 0.01 | ms/batch 209.53 | loss  5.55 | ppl   257.67
| epoch   1 | 40000/312089 batches | lr 0.01 | ms/batch 209.34 | loss  5.53 | ppl   252.36
| epoch   1 | 41000/312089 batches | lr 0.01 | ms/batch 209.46 | loss  5.51 | ppl   247.38
