load word frequency mapping - complete
loaded tensor torch.Size([798949912])
loaded tensor torch.Size([30301027, 2])
#sentences 30301027
load train data - complete
#sentences 6073
load test data - complete
| epoch   1 |     0/312089 batches | lr 0.10 | ms/batch  0.81 | loss 13.06 | ppl 470678.10
| epoch   1 |  1000/312089 batches | lr 0.10 | ms/batch 149.80 | loss  6.61 | ppl   743.07
| epoch   1 |  2000/312089 batches | lr 0.10 | ms/batch 146.65 | loss  5.84 | ppl   344.91
| epoch   1 |  3000/312089 batches | lr 0.10 | ms/batch 146.66 | loss  5.61 | ppl   274.48
| epoch   1 |  4000/312089 batches | lr 0.10 | ms/batch 149.55 | loss  5.47 | ppl   238.14
| epoch   1 |  5000/312089 batches | lr 0.10 | ms/batch 149.70 | loss  5.36 | ppl   212.04
| epoch   1 |  6000/312089 batches | lr 0.10 | ms/batch 146.15 | loss  5.12 | ppl   167.65
| epoch   1 |  7000/312089 batches | lr 0.10 | ms/batch 146.32 | loss  5.01 | ppl   150.49
| epoch   1 |  8000/312089 batches | lr 0.10 | ms/batch 146.20 | loss  4.99 | ppl   147.31
| epoch   1 |  9000/312089 batches | lr 0.10 | ms/batch 146.21 | loss  4.94 | ppl   139.12
| epoch   1 | 10000/312089 batches | lr 0.10 | ms/batch 146.24 | loss  4.93 | ppl   138.50
| epoch   1 | 11000/312089 batches | lr 0.10 | ms/batch 146.14 | loss  4.71 | ppl   111.39
| epoch   1 | 12000/312089 batches | lr 0.10 | ms/batch 146.41 | loss  4.70 | ppl   109.68
| epoch   1 | 13000/312089 batches | lr 0.10 | ms/batch 146.26 | loss  4.75 | ppl   115.85
| epoch   1 | 14000/312089 batches | lr 0.10 | ms/batch 146.32 | loss  4.52 | ppl    91.46
| epoch   1 | 15000/312089 batches | lr 0.10 | ms/batch 146.62 | loss  4.63 | ppl   102.91
| epoch   1 | 16000/312089 batches | lr 0.10 | ms/batch 146.32 | loss  4.46 | ppl    86.60
| epoch   1 | 17000/312089 batches | lr 0.10 | ms/batch 146.15 | loss  4.58 | ppl    97.82
| epoch   1 | 18000/312089 batches | lr 0.10 | ms/batch 146.21 | loss  4.51 | ppl    90.91
| epoch   1 | 19000/312089 batches | lr 0.10 | ms/batch 146.20 | loss  4.42 | ppl    83.00
| epoch   1 | 20000/312089 batches | lr 0.10 | ms/batch 146.31 | loss  4.50 | ppl    90.21
| epoch   1 | 21000/312089 batches | lr 0.10 | ms/batch 146.26 | loss  4.40 | ppl    81.65
| epoch   1 | 22000/312089 batches | lr 0.10 | ms/batch 146.47 | loss  4.36 | ppl    78.37
| epoch   1 | 23000/312089 batches | lr 0.10 | ms/batch 146.40 | loss  4.39 | ppl    80.34
| epoch   1 | 24000/312089 batches | lr 0.10 | ms/batch 146.27 | loss  4.47 | ppl    87.65
| epoch   1 | 25000/312089 batches | lr 0.10 | ms/batch 146.40 | loss  4.24 | ppl    69.43
| epoch   1 | 26000/312089 batches | lr 0.10 | ms/batch 146.32 | loss  4.39 | ppl    81.01
| epoch   1 | 27000/312089 batches | lr 0.10 | ms/batch 146.29 | loss  4.25 | ppl    70.00
| epoch   1 | 28000/312089 batches | lr 0.10 | ms/batch 146.18 | loss  4.28 | ppl    72.31
| epoch   1 | 29000/312089 batches | lr 0.10 | ms/batch 146.17 | loss  4.26 | ppl    71.15
| epoch   1 | 30000/312089 batches | lr 0.10 | ms/batch 146.13 | loss  4.17 | ppl    64.65
| epoch   1 | 31000/312089 batches | lr 0.10 | ms/batch 146.21 | loss  4.30 | ppl    74.04
| epoch   1 | 32000/312089 batches | lr 0.10 | ms/batch 146.32 | loss  4.28 | ppl    72.30
| epoch   1 | 33000/312089 batches | lr 0.10 | ms/batch 146.20 | loss  4.24 | ppl    69.51
| epoch   1 | 34000/312089 batches | lr 0.10 | ms/batch 148.15 | loss  4.29 | ppl    72.75
| epoch   1 | 35000/312089 batches | lr 0.10 | ms/batch 146.71 | loss  4.28 | ppl    71.90
| epoch   1 | 36000/312089 batches | lr 0.10 | ms/batch 146.71 | loss  4.20 | ppl    66.40
| epoch   1 | 37000/312089 batches | lr 0.10 | ms/batch 146.10 | loss  4.20 | ppl    66.93
| epoch   1 | 38000/312089 batches | lr 0.10 | ms/batch 146.01 | loss  4.16 | ppl    63.97
| epoch   1 | 39000/312089 batches | lr 0.10 | ms/batch 146.36 | loss  4.17 | ppl    64.75
| epoch   1 | 40000/312089 batches | lr 0.10 | ms/batch 146.37 | loss  4.14 | ppl    63.00
| epoch   1 | 41000/312089 batches | lr 0.10 | ms/batch 146.18 | loss  4.08 | ppl    59.14
| epoch   1 | 42000/312089 batches | lr 0.10 | ms/batch 146.14 | loss  4.33 | ppl    76.11
| epoch   1 | 43000/312089 batches | lr 0.10 | ms/batch 146.24 | loss  4.22 | ppl    67.93
| epoch   1 | 44000/312089 batches | lr 0.10 | ms/batch 146.34 | loss  3.99 | ppl    54.21
| epoch   1 | 45000/312089 batches | lr 0.10 | ms/batch 146.46 | loss  4.22 | ppl    68.30
| epoch   1 | 46000/312089 batches | lr 0.10 | ms/batch 146.48 | loss  4.07 | ppl    58.58
| epoch   1 | 47000/312089 batches | lr 0.10 | ms/batch 146.60 | loss  4.12 | ppl    61.79
| epoch   1 | 48000/312089 batches | lr 0.10 | ms/batch 146.31 | loss  4.04 | ppl    56.78
| epoch   1 | 49000/312089 batches | lr 0.10 | ms/batch 146.20 | loss  4.10 | ppl    60.28
| epoch   1 | 50000/312089 batches | lr 0.10 | ms/batch 146.23 | loss  4.26 | ppl    70.81
| epoch   1 | 51000/312089 batches | lr 0.10 | ms/batch 146.07 | loss  4.10 | ppl    60.55
